Genes,Term
TNF,Regulation Of Viral Genome Replication (GO:0045069)
TNF,Positive Regulation Of DNA-templated Transcription (GO:0045893)
PLAU,Positive Regulation Of Response To External Stimulus (GO:0032103)
PLAU,Regulation Of Cell-Matrix Adhesion (GO:0001952)
PLAU,Negative Regulation Of Protein Processing (GO:0010955)
PLAU,Negative Regulation Of Plasminogen Activation (GO:0010757)
PLAU,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)
PLAU,Negative Regulation Of Fibrinolysis (GO:0051918)
PLAU,Regulation Of Cell Migration (GO:0030334)
PLAU,Regulation Of Cell Adhesion (GO:0030155)
PLAU,Positive Regulation Of Cell Motility (GO:2000147)
PLAU,Regulation Of Fibrinolysis (GO:0051917)
PLAU,Regulation Of Plasminogen Activation (GO:0010755)
PLAU,Regulation Of Smooth Muscle Cell Migration (GO:0014910)
PLAU,Positive Regulation Of Blood Coagulation (GO:0030194)
LTB,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
LTB,Positive Regulation Of Cytokine Production (GO:0001819)
LTB,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238)
LTB,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
LTB,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)
LTB,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
LTB,Regulation Of Interleukin-12 Production (GO:0032655)
LTB,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)
CX3CL1,Inflammatory Response (GO:0006954)
CX3CL1,Cytokine-Mediated Signaling Pathway (GO:0019221)
CX3CL1,Chemokine-Mediated Signaling Pathway (GO:0070098)
CX3CL1,Cellular Response To Chemokine (GO:1990869)
CX3CL1,Neutrophil Chemotaxis (GO:0030593)
CX3CL1,Granulocyte Chemotaxis (GO:0071621)
CX3CL1,Neutrophil Migration (GO:1990266)
CX3CL1,Lymphocyte Chemotaxis (GO:0048247)
CX3CL1,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CX3CL1,Cellular Response To Cytokine Stimulus (GO:0071345)
CX3CL1,Regulation Of Cell Population Proliferation (GO:0042127)
CX3CL1,Cellular Response To Interleukin-1 (GO:0071347)
CX3CL1,Positive Regulation Of Response To External Stimulus (GO:0032103)
CX3CL1,Response To Interleukin-1 (GO:0070555)
CX3CL1,Cellular Response To Type II Interferon (GO:0071346)
CX3CL1,Lymphocyte Migration (GO:0072676)
CX3CL1,Monocyte Chemotaxis (GO:0002548)
CX3CL1,Eosinophil Chemotaxis (GO:0048245)
CX3CL1,Eosinophil Migration (GO:0072677)
CX3CL1,Response To Tumor Necrosis Factor (GO:0034612)
CX3CL1,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)
CX3CL1,Positive Regulation Of Defense Response (GO:0031349)
CX3CL1,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
CX3CL1,Positive Regulation Of Macrophage Migration (GO:1905523)
CX3CL1,Regulation Of Inflammatory Response (GO:0050727)
CX3CL1,Positive Regulation Of Inflammatory Response (GO:0050729)
CX3CL1,Positive Regulation Of MAPK Cascade (GO:0043410)
CX3CL1,Positive Regulation Of Cell-Cell Adhesion (GO:0022409)
CX3CL1,Negative Regulation Of Signal Transduction (GO:0009968)
CX3CL1,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)
CX3CL1,Response To Type II Interferon (GO:0034341)
CX3CL1,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CX3CL1,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CX3CL1,Regulation Of Cell-Matrix Adhesion (GO:0001952)
CX3CL1,Negative Regulation Of Interleukin-6 Production (GO:0032715)
CX3CL1,Negative Regulation Of Apoptotic Process (GO:0043066)
CX3CL1,Regulation Of Interleukin-6 Production (GO:0032675)
CX3CL1,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
CX3CL1,Cell Junction Disassembly (GO:0150146)
CX3CL1,Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)
CX3CL1,Positive Regulation Of Microglial Cell Migration (GO:1904141)
CX3CL1,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CX3CL1,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)
CX3CL1,Regulation Of Microglial Cell Migration (GO:1904139)
CX3CL1,Regulation Of I-kappaB Phosphorylation (GO:1903719)
CX3CL1,Positive Regulation Of Glial Cell Migration (GO:1903977)
CX3CL1,Positive Regulation Of GTPase Activity (GO:0043547)
CX3CL1,Regulation Of Response To Biotic Stimulus (GO:0002831)
CX3CL1,Negative Regulation Of Programmed Cell Death (GO:0043069)
CX3CL1,Synapse Pruning (GO:0098883)
CX3CL1,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
CX3CL1,Positive Regulation Of Hydrolase Activity (GO:0051345)
CX3CL1,Negative Regulation Of Cytokine Production (GO:0001818)
CX3CL1,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)
CX3CL1,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)
CX3CL1,Neuron Remodeling (GO:0016322)
CX3CL1,Regulation Of Tumor Necrosis Factor Production (GO:0032680)
CX3CL1,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)
CX3CL1,Positive Regulation Of Cellular Process (GO:0048522)
CX3CL1,Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)
CX3CL1,Regulation Of Cell Migration (GO:0030334)
CX3CL1,Regulation Of Apoptotic Process (GO:0042981)
CX3CL1,Regulation Of GTPase Activity (GO:0043087)
CX3CL1,Positive Regulation Of Protein Kinase B Signaling (GO:0051897)
CX3CL1,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
CX3CL1,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)
CX3CL1,Neuron Maturation (GO:0042551)
CX3CL1,Microglial Cell Activation (GO:0001774)
CX3CL1,Regulation Of Neurogenesis (GO:0050767)
CX3CL1,Positive Regulation Of DNA-templated Transcription (GO:0045893)
CXCL2,Inflammatory Response (GO:0006954)
CXCL2,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL2,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL2,Cellular Response To Chemokine (GO:1990869)
CXCL2,Neutrophil Chemotaxis (GO:0030593)
CXCL2,Granulocyte Chemotaxis (GO:0071621)
CXCL2,Neutrophil Migration (GO:1990266)
CXCL2,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL2,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL2,Cellular Response To Lipid (GO:0071396)
CXCL2,Response To Lipopolysaccharide (GO:0032496)
CXCL2,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL2,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL2,Antimicrobial Humoral Response (GO:0019730)
CXCL2,Response To Molecule Of Bacterial Origin (GO:0002237)
TNFSF14,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
TNFSF14,Regulation Of NIK/NF-kappaB Signaling (GO:1901222)
TNFSF14,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)
TNFSF14,Cellular Response To Mechanical Stimulus (GO:0071260)
CXCL5,Inflammatory Response (GO:0006954)
CXCL5,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL5,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL5,Cellular Response To Chemokine (GO:1990869)
CXCL5,Neutrophil Chemotaxis (GO:0030593)
CXCL5,Granulocyte Chemotaxis (GO:0071621)
CXCL5,Neutrophil Migration (GO:1990266)
CXCL5,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL5,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL5,Cellular Response To Lipid (GO:0071396)
CXCL5,Response To Lipopolysaccharide (GO:0032496)
CXCL5,Regulation Of Cell Population Proliferation (GO:0042127)
CXCL5,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL5,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL5,Antimicrobial Humoral Response (GO:0019730)
CXCL5,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CXCL5,Positive Regulation Of Cellular Process (GO:0048522)
CSF1,Regulation Of Cell Population Proliferation (GO:0042127)
CSF1,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
CSF1,Positive Regulation Of Macrophage Migration (GO:1905523)
CSF1,Regulation Of Mononuclear Cell Migration (GO:0071675)
CSF1,Positive Regulation Of Gene Expression (GO:0010628)
CSF1,Positive Regulation Of Protein Metabolic Process (GO:0051247)
CSF1,Regulation Of Cell-Matrix Adhesion (GO:0001952)
CSF1,Positive Regulation Of Macrophage Chemotaxis (GO:0010759)
CSF1,Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)
CSF1,Regulation Of Osteoclast Differentiation (GO:0045670)
CSF1,Positive Regulation Of Osteoclast Differentiation (GO:0045672)
CSF1,Regulation Of Granulocyte Chemotaxis (GO:0071622)
CSF1,Regulation Of Macrophage Chemotaxis (GO:0010758)
CSF1,Macrophage Differentiation (GO:0030225)
CSF1,Positive Regulation Of Microglial Cell Migration (GO:1904141)
CSF1,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CSF1,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)
CSF1,Regulation Of Microglial Cell Migration (GO:1904139)
CSF1,Positive Regulation Of Glial Cell Migration (GO:1903977)
CSF1,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743)
CSF1,Positive Regulation Of Leukocyte Migration (GO:0002687)
CSF1,Myeloid Leukocyte Differentiation (GO:0002573)
CSF1,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)
CSF1,Positive Regulation Of Macrophage Differentiation (GO:0045651)
CSF1,Positive Regulation Of Cellular Process (GO:0048522)
CSF1,Regulation Of Cell Migration (GO:0030334)
CSF1,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961)
CSF1,Regulation Of Macrophage Differentiation (GO:0045649)
CSF1,Positive Regulation Of Cell Motility (GO:2000147)
CSF1,Positive Regulation Of Leukocyte Proliferation (GO:0070665)
CSF1,Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744)
CSF1,Regulation Of Gene Expression (GO:0010468)
CXCL11,Inflammatory Response (GO:0006954)
CXCL11,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL11,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL11,Cellular Response To Chemokine (GO:1990869)
CXCL11,Neutrophil Chemotaxis (GO:0030593)
CXCL11,Granulocyte Chemotaxis (GO:0071621)
CXCL11,Neutrophil Migration (GO:1990266)
CXCL11,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL11,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL11,Lymphocyte Chemotaxis (GO:0048247)
CXCL11,Cellular Response To Lipid (GO:0071396)
CXCL11,Response To Lipopolysaccharide (GO:0032496)
CXCL11,Regulation Of Cell Population Proliferation (GO:0042127)
CXCL11,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL11,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL11,Antimicrobial Humoral Response (GO:0019730)
CXCL11,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)
CXCL11,T Cell Chemotaxis (GO:0010818)
CXCL11,Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)
CXCL11,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)
CXCL11,T Cell Migration (GO:0072678)
CXCL1,Inflammatory Response (GO:0006954)
CXCL1,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL1,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL1,Cellular Response To Chemokine (GO:1990869)
CXCL1,Neutrophil Chemotaxis (GO:0030593)
CXCL1,Granulocyte Chemotaxis (GO:0071621)
CXCL1,Neutrophil Migration (GO:1990266)
CXCL1,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL1,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL1,Cellular Response To Lipid (GO:0071396)
CXCL1,Response To Lipopolysaccharide (GO:0032496)
CXCL1,Regulation Of Cell Population Proliferation (GO:0042127)
CXCL1,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL1,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL1,Antimicrobial Humoral Response (GO:0019730)
CXCL1,Negative Regulation Of Cell Population Proliferation (GO:0008285)
CXCL1,Negative Regulation Of Cellular Process (GO:0048523)
CYP1B1,Regulation Of Cell Population Proliferation (GO:0042127)
CYP1B1,Cellular Response To Organic Substance (GO:0071310)
CYP1B1,Cellular Response To Organic Cyclic Compound (GO:0071407)
CYP1B1,Response To Organic Cyclic Compound (GO:0014070)
CYP1B1,Negative Regulation Of Cell Population Proliferation (GO:0008285)
CYP1B1,Positive Regulation Of Cytokine Production (GO:0001819)
CYP1B1,Positive Regulation Of Vasculature Development (GO:1904018)
CYP1B1,Regulation Of Angiogenesis (GO:0045765)
CYP1B1,Positive Regulation Of Angiogenesis (GO:0045766)
CYP1B1,Negative Regulation Of Cellular Process (GO:0048523)
CYP1B1,Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575)
CYP1B1,Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574)
CYP1B1,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)
CYP1B1,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)
CYP1B1,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)
CYP1B1,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)
CYP1B1,Regulation Of Cell Migration (GO:0030334)
CYP1B1,Regulation Of Apoptotic Process (GO:0042981)
CYP1B1,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)
CYP1B1,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)
CCL2,Inflammatory Response (GO:0006954)
CCL2,Cytokine-Mediated Signaling Pathway (GO:0019221)
CCL2,Chemokine-Mediated Signaling Pathway (GO:0070098)
CCL2,Cellular Response To Chemokine (GO:1990869)
CCL2,Neutrophil Chemotaxis (GO:0030593)
CCL2,Granulocyte Chemotaxis (GO:0071621)
CCL2,Neutrophil Migration (GO:1990266)
CCL2,Cellular Response To Lipopolysaccharide (GO:0071222)
CCL2,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CCL2,Lymphocyte Chemotaxis (GO:0048247)
CCL2,Cellular Response To Lipid (GO:0071396)
CCL2,Response To Lipopolysaccharide (GO:0032496)
CCL2,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CCL2,Cellular Response To Cytokine Stimulus (GO:0071345)
CCL2,Cellular Response To Interleukin-1 (GO:0071347)
CCL2,Cellular Response To Organic Substance (GO:0071310)
CCL2,Response To Interleukin-1 (GO:0070555)
CCL2,Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)
CCL2,Cellular Response To Type II Interferon (GO:0071346)
CCL2,Lymphocyte Migration (GO:0072676)
CCL2,Monocyte Chemotaxis (GO:0002548)
CCL2,Eosinophil Chemotaxis (GO:0048245)
CCL2,Eosinophil Migration (GO:0072677)
CCL2,Response To Tumor Necrosis Factor (GO:0034612)
CCL2,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CCL2,Cellular Response To Organic Cyclic Compound (GO:0071407)
CCL2,Response To Organic Cyclic Compound (GO:0014070)
CCL2,Positive Regulation Of MAPK Cascade (GO:0043410)
CCL2,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)
CCL2,Response To Type II Interferon (GO:0034341)
CCL2,Protein Kinase B Signaling (GO:0043491)
CCL2,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CCL2,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CCL2,Negative Regulation Of Apoptotic Process (GO:0043066)
CCL2,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)
CCL2,Positive Regulation Of Calcium Ion Transport (GO:0051928)
CCL2,Positive Regulation Of GTPase Activity (GO:0043547)
CCL2,Positive Regulation Of Hydrolase Activity (GO:0051345)
CCL2,Macrophage Chemotaxis (GO:0048246)
CCL2,Macrophage Migration (GO:1905517)
CCL2,Regulation Of GTPase Activity (GO:0043087)
CCL2,Positive Regulation Of Lymphocyte Activation (GO:0051251)
CCL2,Positive Regulation Of Endothelial Cell Apoptotic Process (GO:2000353)
CCL2,MAPK Cascade (GO:0000165)
CCL2,Regulation Of Neuron Apoptotic Process (GO:0043523)
CCL2,Positive Regulation Of T Cell Activation (GO:0050870)
CCL2,Regulation Of Synaptic Transmission
CCL2,Glutamatergic (GO:0051966)
CCL2,Positive Regulation Of Phagocytosis (GO:0050766)
CCL2,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
CCL2,Positive Regulation Of Epithelial Cell Apoptotic Process (GO:1904037)
BIRC3,Cytokine-Mediated Signaling Pathway (GO:0019221)
BIRC3,Cellular Response To Tumor Necrosis Factor (GO:0071356)
BIRC3,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
BIRC3,Regulation Of Inflammatory Response (GO:0050727)
BIRC3,Negative Regulation Of Apoptotic Process (GO:0043066)
BIRC3,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
BIRC3,Regulation Of Response To Biotic Stimulus (GO:0002831)
BIRC3,Negative Regulation Of Programmed Cell Death (GO:0043069)
BIRC3,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
BIRC3,Regulation Of Innate Immune Response (GO:0045088)
BIRC3,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)
BIRC3,Regulation Of Apoptotic Process (GO:0042981)
BIRC3,Regulation Of Protein Ubiquitination (GO:0031396)
BIRC3,Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034121)
CCL22,Inflammatory Response (GO:0006954)
CCL22,Cytokine-Mediated Signaling Pathway (GO:0019221)
CCL22,Chemokine-Mediated Signaling Pathway (GO:0070098)
CCL22,Cellular Response To Chemokine (GO:1990869)
CCL22,Neutrophil Chemotaxis (GO:0030593)
CCL22,Granulocyte Chemotaxis (GO:0071621)
CCL22,Neutrophil Migration (GO:1990266)
CCL22,Lymphocyte Chemotaxis (GO:0048247)
CCL22,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CCL22,Cellular Response To Cytokine Stimulus (GO:0071345)
CCL22,Cellular Response To Interleukin-1 (GO:0071347)
CCL22,Response To Interleukin-1 (GO:0070555)
CCL22,Cellular Response To Type II Interferon (GO:0071346)
CCL22,Lymphocyte Migration (GO:0072676)
CCL22,Monocyte Chemotaxis (GO:0002548)
CCL22,Eosinophil Chemotaxis (GO:0048245)
CCL22,Eosinophil Migration (GO:0072677)
CCL22,Response To Tumor Necrosis Factor (GO:0034612)
CCL22,Positive Regulation Of MAPK Cascade (GO:0043410)
CCL22,Response To Type II Interferon (GO:0034341)
CCL22,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CCL22,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CCL22,Positive Regulation Of GTPase Activity (GO:0043547)
CCL22,Positive Regulation Of Hydrolase Activity (GO:0051345)
CCL22,Regulation Of GTPase Activity (GO:0043087)
TNFAIP3,Cellular Response To Lipopolysaccharide (GO:0071222)
TNFAIP3,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
TNFAIP3,Cellular Response To Lipid (GO:0071396)
TNFAIP3,Response To Lipopolysaccharide (GO:0032496)
TNFAIP3,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)
TNFAIP3,Cellular Response To Oxygen-Containing Compound (GO:1901701)
TNFAIP3,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)
TNFAIP3,Regulation Of Inflammatory Response (GO:0050727)
TNFAIP3,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)
TNFAIP3,Negative Regulation Of Cell Population Proliferation (GO:0008285)
TNFAIP3,Negative Regulation Of Signal Transduction (GO:0009968)
TNFAIP3,Positive Regulation Of Protein Metabolic Process (GO:0051247)
TNFAIP3,Negative Regulation Of Interleukin-6 Production (GO:0032715)
TNFAIP3,Regulation Of Angiogenesis (GO:0045765)
TNFAIP3,Regulation Of Interleukin-6 Production (GO:0032675)
TNFAIP3,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
TNFAIP3,Regulation Of Vascular Wound Healing (GO:0061043)
TNFAIP3,Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)
TNFAIP3,Response To Molecule Of Bacterial Origin (GO:0002237)
TNFAIP3,Negative Regulation Of Cytokine Production (GO:0001818)
TNFAIP3,Regulation Of Tumor Necrosis Factor Production (GO:0032680)
TNFAIP3,Regulation Of Innate Immune Response (GO:0045088)
TNFAIP3,Positive Regulation Of Catabolic Process (GO:0009896)
TNFAIP3,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)
TNFAIP3,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)
TNFAIP3,Positive Regulation Of Protein Catabolic Process (GO:0045732)
TNFAIP3,Regulation Of Interleukin-2 Production (GO:0032663)
TNFAIP3,Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803)
TNFAIP3,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321)
TNFAIP3,Negative Regulation Of Protein Ubiquitination (GO:0031397)
TNFAIP3,Regulation Of Protein Ubiquitination (GO:0031396)
TNFAIP3,Negative Regulation Of B Cell Activation (GO:0050869)
TNFAIP3,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)
TNFAIP3,Negative Regulation Of Lymphocyte Activation (GO:0051250)
NFKBIZ,Positive Regulation Of Response To External Stimulus (GO:0032103)
NFKBIZ,Positive Regulation Of Defense Response (GO:0031349)
NFKBIZ,Regulation Of Inflammatory Response (GO:0050727)
NFKBIZ,Positive Regulation Of Inflammatory Response (GO:0050729)
NFKBIZ,Positive Regulation Of T-helper 17 Cell Differentiation (GO:2000321)
NFKBIZ,Positive Regulation Of T-helper 17 Type Immune Response (GO:2000318)
NFKBIZ,Regulation Of Gene Expression (GO:0010468)
NANOS3,Positive Regulation Of Nuclear-Transcribed mRNA Catabolic Process
NANOS3,Deadenylation-Dependent Decay (GO:1900153)
NANOS3,Oogenesis (GO:0048477)
NANOS3,Negative Regulation Of Gene Expression (GO:0010629)
NANOS3,Regulation Of Nuclear-Transcribed mRNA Catabolic Process
NANOS3,Deadenylation-Dependent Decay (GO:1900151)
RGS2,Negative Regulation Of Signal Transduction (GO:0009968)
RGS2,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)
RGS2,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
RGS2,Regulation Of MAP Kinase Activity (GO:0043405)
RGS2,Regulation Of Cardiac Muscle Hypertrophy (GO:0010611)
